account,ownedStake
splinterskins,"52233,94563311"
aggroed,"31130,18247197"
captain.future,"13015,06551794"
neoxian,"10229,76610625"
balte,"6000,68593581"
aliveandsocial,"5285,99069582"
memehive,"5126,93187973"
ecosaint,"5076,18517786"
hive-engine,"5000,00082179"
smalp,"5000,0"
hivephoto,"4998,95080843"
hive.pizza,"4188,51791919"
jedigeiss,"4111,56495854"
mmmmkkkk311,"4102,73683323"
inertia,"4004,27827786"
dustindivitto,"4000,0"
howweroll,"3860,40261961"
dsc-r2cornell,"3547,18209019"
richardcrill,"3466,07062427"
abrockman,"3457,19791253"
mmrx,"3400,0"
beetrader,"2818,39924615"
primersion,"2788,23587534"
points-fr,"2759,50489342"
holovision,"2522,96501435"
knowhow92,"2504,0743367"
ctpsb.stem,"2423,68453579"
bluesniper,"2257,46055967"
freebornsociety,"2201,71210781"
he-index,"2057,44761858"
forykw,"2042,82502332"
balina,"2013,31116426"
coffeebuds,"2010,87714103"
foodiesunite,"2006,62559972"
queker-bee,"1940,6076277"
reggaejahm,"1871,36838931"
jelly-cz,"1850,11311831"
anadolu,"1825,79483142"
enginemaker,"1800,0"
ctime,"1700,14776552"
upfundme,"1661,65011461"
shar-pei,"1600,99219596"
blue.rabbit,"1557,58827092"
token-thx,"1539,19046569"
crystalking,"1400,0"
beebay,"1367,55676852"
m3ss,"1361,94095555"
saboin,"1292,1940063"
digital.tinkerer,"1204,53808552"
rsteem,"1200,0"
kamikaze,"1200,0"
fivesecondrule,"1200,0"
alucard1260,"1200,0"
ervin-lemark,"1186,41404888"
bilpcoin,"1180,52767748"
apiculture,"1175,15126876"
kanibot,"1170,50714211"
brofund-witness,"1169,95720898"
atexoras.witness,"1169,73027394"
pizza-engine,"1166,22814042"
stickupcash,"1147,5525875"
oneup-cartel,"1138,4430336"
ausbit.dev,"1120,71544401"
woo-market-maker,"1100,04983572"
comptroller,"1098,81951844"
netaterra,"1088,9742028"
stoken.bee,"1086,01352969"
risingstargame,"1063,4730371"
ph1102.ctp,"1039,60963365"
waiv.swap,"1010,0"
flauwy,"1009,71395148"
reazuliqbal,"1004,62471235"
r2cornell,"1000,0"
bee-curator,"987,55100643"
locolombia,"958,59430264"
neoxianminer,"949,19064247"
condeas,"882,91946392"
sinistry,"862,3724491"
siphon.tribes,"848,09358409"
clicktrackprofit,"837,4319894"
chrono.witness,"824,25054977"
eturnerx-honey,"821,7914498"
holovision.cash,"795,97625072"
actifit-he,"751,0348788"
