account,amount,symbol,memo
alokkumar121,"19,186",CTP,Rewards on delegation.
flaxz,"27,614",CTP,Rewards on delegation.
fiberfrau,"6,956",CTP,Rewards on delegation.
certain,"11,567",CTP,Rewards on delegation.
reeta0119,"13,278",CTP,Rewards on delegation.
paulcaraway,"12,344",CTP,Rewards on delegation.
elianaicgomes,"8,502",CTP,Rewards on delegation.
pixiepost,"16,867",CTP,Rewards on delegation.
guurry123,"4,361",CTP,Rewards on delegation.
mariannewest,"2,926",CTP,Rewards on delegation.
ph1102,"28,849",CTP,Rewards on delegation.
invest4free,"1,435",CTP,Rewards on delegation.
imfarhad,"4,231",CTP,Rewards on delegation.
torrey.blog,"27,752",CTP,Rewards on delegation.
gadrian-sp,"27,729",CTP,Rewards on delegation.
tristancarax,"14,41",CTP,Rewards on delegation.
arena10,"0,441",CTP,Rewards on delegation.
quinnertronics,"0,386",CTP,Rewards on delegation.
iamraincrystal,"7,177",CTP,Rewards on delegation.
athomewithcraig,"5,631",CTP,Rewards on delegation.
justclickindiva,"7,067",CTP,Rewards on delegation.
cliffagreen,"6,984",CTP,Rewards on delegation.
jacoalberts,"0,579",CTP,Rewards on delegation.
thatcryptodave,"22,085",CTP,Rewards on delegation.
regenerette,"0,855",CTP,Rewards on delegation.
johnsdowie,"2,788",CTP,Rewards on delegation.
kingneptune,"4,196",CTP,Rewards on delegation.
alente,"0,138",CTP,Rewards on delegation.
flaxz.alive,"0,22",CTP,Rewards on delegation.
iamalivechalleng,"5,549",CTP,Rewards on delegation.
alive.chat,"0,8",CTP,Rewards on delegation.
aliveprojects,"0,276",CTP,Rewards on delegation.
flaxz.ctp,"0,165",CTP,Rewards on delegation.
wearealive,"0,883",CTP,Rewards on delegation.
alovely,"0,579",CTP,Rewards on delegation.
myjob,"14,048",CTP,Rewards on delegation.
benthomaswwd,"0,414",CTP,Rewards on delegation.
elizacheng,"12,584",CTP,Rewards on delegation.
sydney.potts,"9,69",CTP,Rewards on delegation.
ana-maria,"0,276",CTP,Rewards on delegation.
blue.rabbit,"13,913",CTP,Rewards on delegation.
davidthompson57,"11,098",CTP,Rewards on delegation.
heartbeatonhive,"0,138",CTP,Rewards on delegation.
ironshield,"2,76",CTP,Rewards on delegation.
fragozar01,"1,104",CTP,Rewards on delegation.
littlebee4,"0,07",CTP,Rewards on delegation.
alokkumar121,"12,589",ALIVE,Rewards on delegation.
flaxz,"18,119",ALIVE,Rewards on delegation.
fiberfrau,"4,564",ALIVE,Rewards on delegation.
certain,"7,589",ALIVE,Rewards on delegation.
reeta0119,"8,712",ALIVE,Rewards on delegation.
paulcaraway,"8,099",ALIVE,Rewards on delegation.
elianaicgomes,"5,579",ALIVE,Rewards on delegation.
pixiepost,"11,067",ALIVE,Rewards on delegation.
guurry123,"2,862",ALIVE,Rewards on delegation.
mariannewest,"1,92",ALIVE,Rewards on delegation.
ph1102,"18,929",ALIVE,Rewards on delegation.
invest4free,"0,941",ALIVE,Rewards on delegation.
imfarhad,"2,776",ALIVE,Rewards on delegation.
torrey.blog,"18,209",ALIVE,Rewards on delegation.
gadrian-sp,"18,194",ALIVE,Rewards on delegation.
tristancarax,"9,455",ALIVE,Rewards on delegation.
arena10,"0,289",ALIVE,Rewards on delegation.
quinnertronics,"0,253",ALIVE,Rewards on delegation.
iamraincrystal,"4,709",ALIVE,Rewards on delegation.
