account,ownedStake
ph1102.bee,"71,18785119"
lolz.bee,"70,87313652"
cryptofiloz,"70,36414213"
chapelle,"70,05803924"
lxsxl,"69,35603758"
aron755,"67,57740679"
chronocrypto,"66,41947526"
howzat,"66,06963156"
eturnerx,"64,3588563"
iamalivechalleng,"61,08947402"
proctologic,"60,9"
hive-world,"60,61745362"
hetty-rowan,"60,60977654"
shiftrox,"59,9957018"
kingneptune,"59,98151194"
alive.chat,"59,39227174"
fredfettmeister,"59,13178677"
vasupi,"58,97976639"
discohedge,"58,0769188"
manuvert,"56,55264485"
skunk-smoka,"56,00039109"
investinthefutur,"55,55896272"
trashyomen,"55,51580297"
moeenali,"55,42021895"
bambukah,"54,5559997"
rob23,"54,41385152"
seckorama,"53,65386519"
rentmoney,"53,37279208"
backinblackdevil,"52,52508249"
offgridlife,"51,95237949"
peterale,"51,92665752"
muelli,"51,21139289"
guurry123,"50,81057191"
liotes,"50,80934507"
clicktrackprofit,"50,40409393"
lernherstory,"50,0"
bitandi,"48,88604472"
weldmaster,"48,66648106"
ctpsb,"48,26207299"
ctptalk,"47,76257682"
thepen,"47,4"
jacuzzi,"47,14039148"
solymi,"46,04565996"
l337m45732,"44,3577699"
guruvaj,"43,61041286"
raizac,"42,88516916"
walk-the-grid,"42,68065252"
xabi,"42,49286198"
kheldar1982,"42,49118248"
ladybe,"42,01776971"
stdd,"41,94846751"
sevenoh-fiveoh,"41,35773449"
berthold,"41,22025963"
zelegations,"40,73730083"
twaltar,"40,69479545"
wolfofnostreet,"40,0596413"
oudekrijger,"40,00158648"
biglove,"39,7117797"
dragon-ti,"39,68923256"
enforcer48,"39,64051103"
yintercept,"39,56137614"
cliffblank,"39,51860436"
drunksamurai,"39,3753114"
suzy5,"39,30234314"
onewolfe,"39,06750991"
hive-112281,"38,72849394"
maddogmike,"38,49452979"
mario89,"38,34377901"
bityobit,"38,12574518"
verbalshadow,"37,84976407"
francis.melville,"37,71712067"
edgerik,"37,3093847"
uybee,"37,30563437"
pinkhub,"36,84390714"
mistural,"36,36577251"
telokanda,"35,96"
ugochill,"35,75687764"
e-r-k-a-n,"35,59960771"
aliveandthriving,"35,29662898"
rayshiuimages,"35,05194599"
zartisht,"34,7547473"
xawi,"34,5628626"
felander,"34,36029217"
hivetrending,"34,2139622"
w74,"33,61159874"
spirits4you,"33,49575054"
archonapp,"33,4199433"
jakkal,"33,39691015"
readthisplease,"32,83801047"
reiseamateur,"32,69021152"
reward.app,"32,54086166"
chorock,"32,50471662"
itharagaian,"32,50073398"
new.things,"31,99490564"
funnel,"31,81543908"
tpkidkai,"31,60595652"
xxxedxxx,"31,54848847"
miketr,"31,07033241"
lotto-de,"31,04161775"
faquan,"30,94925807"
alokkumar121,"30,89664518"
sagesigma,"30,88848697"
thehive,"30,82039788"
pixiepost,"30,60884208"
goingcrossroads,"30,48326118"
benthomaswwd,"30,47215243"
playbyhive,"30,40132228"
siphon,"30,24663027"
der-prophet,"30,09112133"
discovereurovelo,"30,02132939"
curatorcat.pal,"29,81663963"
fronttowardenemy,"29,75920526"
mightymick,"29,7084606"
enthef,"29,21471297"
lipe100dedos,"28,85024124"
samsmith1971,"28,53565801"
cryptoandcoffee,"27,97251812"
emaxisonline,"27,72513725"
relf87,"27,6391204"
saachi,"27,49016248"
hivecoffee,"27,47866581"
imno,"27,22806439"
hive-143869,"27,15235172"
bencar26,"27,0"
brianhuang,"26,98243782"
bananofarmer,"26,98010957"
dmilliz,"26,86516867"
criptosectadepit,"26,78440351"
b0s,"26,4345183"
patronpass,"26,09987273"
be-alysha,"25,8402032"
papapanda3,"25,81366808"
thelogicaldude,"25,61967672"
proofofbrainio,"25,57061555"
failingforwards,"25,408413"
dlmmqb,"25,39602299"
davdiprossimo,"25,28341953"
hatoto,"25,26266577"
michupa,"25,22425808"
dcitygame,"24,96152596"
ferrate,"24,72456391"
mimismartypants,"24,64025521"
simsahas,"24,56116494"
ecoinstats,"24,50791203"
thebeardflex,"24,45433198"
allcapsonezero,"24,0760339"
jaopalas,"23,9191455"
hive.fund,"23,74378379"
der-bierokrat,"23,67562726"
cryptosimplify,"23,6302685"
skippyza,"23,47212476"
johannpiber,"23,42065517"
ahmetay,"23,41186108"
cantfoldaces,"23,36761297"
lordneroo,"23,22631259"
bobthebuilder2,"23,21815677"
dibblers.dabs,"22,99472995"
skuration,"22,9653334"
lolztoken,"22,93752529"
mytechtrail,"22,93529128"
twicejoy,"22,92749997"
cyntor,"22,81304832"
olebulls,"22,6277975"
andy.zaphod,"22,49706892"
magwa,"22,39752836"
edongdong,"22,38991659"
newigennity,"22,16690619"
jacobpeacock,"22,16560094"
dadspardan,"22,11949314"
beststart,"21,97450058"
igel2017,"21,61445211"
gwajnberg,"21,54917293"
jeffjagoe,"21,51987549"
zwhammer,"21,47871228"
dcityrewards,"20,72009185"
cryptounicorn420,"20,62099523"
manniman,"20,48905119"
iamjabez,"20,42485488"
cornavirus,"20,3315233"
scottshots,"20,18584463"
zottone444,"20,17307138"
archives-upfunds,"20,05903332"
mezume,"20,04765226"
peakd,"19,78243856"
ecobanker,"19,62421596"
lebah,"19,54219922"
dailygiveaways,"19,49163943"
misterc,"19,29701678"
nane-qts,"19,25717797"
underlock,"19,19872423"
cristina-zac,"19,04973827"
cr4zych1ck3nb0y,"19,0"
bokica80,"18,93954709"
ledinis,"18,79689237"
raymondspeaks,"18,77444778"
photosnap,"18,55449179"
unlikelysurvivor,"18,41803503"
zottonetoken,"18,26128555"
blrog,"18,13881383"
alzee,"18,07879284"
ryan600,"18,0"
r0nny,"17,96973046"
powerpaul,"17,89639712"
indextrader24,"17,81728551"
coininstant,"17,73055172"
kwskicky,"17,60336132"
mvl2304,"17,56370498"
dbooster,"17,55868025"
actifit.pay,"17,54399969"
beeswap,"17,51144265"
bubblegif,"17,43981281"
jfang003,"17,17170884"
thelunacysystem,"17,17043654"
blokz,"17,1023091"
splinternews,"17,03789282"
ragnarokdel,"17,00187937"
feesttent,"17,0"
ddn688,"16,932904"
atylla,"16,75355966"
falcout,"16,67537063"
ehizgabriel,"16,47661465"
ozelot,"16,38954972"
anacristinasilva,"16,04008536"
udabeu,"15,94883372"
louis88,"15,93441121"
maurojd,"15,79581022"
taco-pizza,"15,6717364"
investyourvote,"15,62760795"
manncpt,"15,52162637"
yeckingo1,"15,51135007"
mengao,"15,45249287"
faireye,"15,43692292"
flapjvcks,"15,4"
shaidon,"15,35657555"
chuiiiiiiii,"15,22174458"
bryan-imhoff,"15,13723977"
magic.bee,"15,0277881"
lightyears,"15,0"
mogerbear,"15,0"
inspiredbyhive,"14,92610727"
brofund,"14,88539671"
paulmoon410,"14,84375357"
thecryptopimp,"14,82892048"
lmac,"14,81672592"
kaseldz,"14,70482382"
diamonddreamer,"14,65366352"
ironshield,"14,61001221"
misslasvegas,"14,60434838"
operahoser,"14,60264123"
